Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-03-03 08:00:00,0.8085,0.8439,0.7702,0.7904,23656874.0,0.07369999999999999,-0.10792004048583004,1,0,0,0,0,-1.0,0.0,0.0,0.7904
2021-03-04 08:00:00,0.7918,0.8049,0.6666,0.7051,36344364.0,0.10599999999999998,-0.10792004048583004,0,1,0,1,0,2.0,0.7051,1.0,0.7051
2021-03-05 08:00:00,0.7062,0.7401,0.6389,0.7157,46489036.0,0.10439999999999998,0.015033328605871477,0,0,1,0,0,1.0,0.7157,6.0,0.7051
2021-03-06 08:00:00,0.7165,0.7988,0.6998,0.7324,71960254.0,0.10304999999999997,0.023333799077825956,0,0,0,0,0,1.0,0.7324,6.0,0.7051
2021-03-07 08:00:00,0.7326,0.7586,0.7043,0.7156,35488470.0,0.09329999999999998,-0.02293828509011475,0,0,0,0,0,2.0,0.7156,1.0,0.7051
2021-03-08 08:00:00,0.7157,0.73,0.673,0.7174,57070082.0,0.08724999999999998,0.002515371716042436,0,0,0,0,0,2.0,0.7156,4.0,0.7051
2021-03-09 08:00:00,0.7175,0.7319,0.6885,0.7006,58202329.0,0.08098571428571426,-0.023417897964873258,0,0,0,0,0,2.0,0.7006,1.0,0.7051
2021-03-10 08:00:00,0.7008,0.7019,0.4936,0.5341,448040147.0,0.09689999999999999,-0.23765343990864973,0,0,0,0,0,2.0,0.5341,1.0,0.7051
2021-03-11 08:00:00,0.5338,0.543,0.4655,0.4946,399110725.0,0.09474444444444444,-0.0739561879797791,0,0,0,0,0,2.0,0.4946,1.0,0.7051
2021-03-12 08:00:00,0.4946,0.498,0.3111,0.3906,1463509858.0,0.10395999999999998,-0.21027092600080866,0,0,0,0,0,2.0,0.3906,1.0,0.7051
2021-03-13 08:00:00,0.3906,0.3972,0.35,0.3641,449378925.0,0.09879999999999999,-0.06784434203789047,0,0,0,0,0,2.0,0.3641,1.0,0.7051
2021-03-14 08:00:00,0.3645,0.3685,0.3305,0.3305,279738505.0,0.09373333333333332,-0.09228234001647895,0,1,0,0,0,2.0,0.3305,1.0,0.3305
2021-03-15 08:00:00,0.331,0.38,0.3215,0.3739,508952574.0,0.0910230769230769,0.13131618759455366,0,0,1,0,0,1.0,0.3739,6.0,0.3305
2021-03-16 08:00:00,0.3738,0.419,0.3501,0.3947,446999135.0,0.08944285714285713,0.05562984755282163,1,0,0,0,0,1.0,0.3947,6.0,0.3947
2021-03-17 08:00:00,0.3952,0.407,0.3645,0.3922,201494565.0,0.08631333333333331,-0.006333924499620003,0,0,0,1,0,1.0,0.3947,2.0,0.3947
2021-03-18 08:00:00,0.3925,0.3959,0.3701,0.374,113066408.0,0.08253124999999999,-0.046404895461499174,0,0,0,0,0,2.0,0.374,1.0,0.3947
2021-03-19 08:00:00,0.374,0.3937,0.3595,0.3784,116601936.0,0.07968823529411763,0.0117647058823529,0,0,0,0,0,1.0,0.3784,6.0,0.3947
2021-03-20 08:00:00,0.3784,0.385,0.3618,0.3638,84264800.0,0.07654999999999999,-0.03858350951374212,0,0,0,0,0,2.0,0.3638,1.0,0.3947
2021-03-21 08:00:00,0.3639,0.3729,0.3425,0.3673,109416688.0,0.07412105263157893,0.00962067069818584,0,0,0,0,0,1.0,0.3673,6.0,0.3947
2021-03-22 08:00:00,0.3672,0.3879,0.3469,0.3562,143827150.0,0.072465,-0.030220528178600548,0,0,0,0,0,2.0,0.3562,1.0,0.3947
2021-03-23 08:00:00,0.3562,0.3678,0.3452,0.3562,79316686.0,0.07009047619047619,0.0,0,0,0,0,0,2.0,0.3562,1.0,0.3947
2021-03-24 08:00:00,0.3562,0.37,0.305,0.3303,135395328.0,0.06985909090909091,-0.07271195957327359,0,0,0,0,1,2.0,0.3303,1.0,0.3947
2021-03-25 08:00:00,0.3303,0.3365,0.3113,0.3197,108184111.0,0.06791739130434783,-0.032092037541628815,0,1,0,0,0,2.0,0.3197,1.0,0.3197
2021-03-26 08:00:00,0.3198,0.3485,0.3192,0.3429,92543330.0,0.06630833333333334,0.07256803253049737,0,0,1,0,0,1.0,0.3429,6.0,0.3197
2021-03-27 08:00:00,0.3429,0.3519,0.3319,0.346,67025096.0,0.06445600000000001,0.009040536599591587,0,0,0,0,0,1.0,0.346,6.0,0.3197
2021-03-28 08:00:00,0.346,0.3668,0.3404,0.3595,98322171.0,0.0629923076923077,0.039017341040462394,0,0,0,0,0,1.0,0.3595,6.0,0.3197
2021-03-29 08:00:00,0.3595,0.3803,0.3504,0.3748,104242115.0,0.06176666666666667,0.04255910987482614,0,0,0,0,0,1.0,0.3748,6.0,0.3197
2021-03-30 08:00:00,0.3747,0.3975,0.374,0.3833,122385091.0,0.06040000000000001,0.022678762006403286,1,0,0,0,0,1.0,0.3833,6.0,0.3833
2021-03-31 08:00:00,0.3833,0.3858,0.3398,0.3696,154778195.0,0.05990344827586208,-0.03574223845551783,0,0,0,1,0,2.0,0.3696,1.0,0.3833
2021-04-01 08:00:00,0.3698,0.3767,0.355,0.363,81438434.0,0.05863000000000001,-0.017857142857142794,0,0,0,0,0,2.0,0.363,1.0,0.3833
2021-04-02 08:00:00,0.363,0.3726,0.356,0.3611,94900163.0,0.05727419354838711,-0.005234159779614389,0,1,0,0,0,2.0,0.3611,1.0,0.3611
2021-04-03 08:00:00,0.3614,0.408,0.3574,0.3628,282834982.0,0.05706562500000001,0.00470783716422063,0,0,1,0,0,2.0,0.3611,5.0,0.3611
2021-04-04 08:00:00,0.3629,0.3926,0.3568,0.3886,112866163.0,0.05642121212121213,0.07111356119073875,0,0,0,0,0,1.0,0.3886,6.0,0.3611
2021-04-05 08:00:00,0.3885,0.4319,0.3666,0.423,239227892.0,0.05668235294117648,0.08852290272774055,0,0,0,0,0,1.0,0.423,6.0,0.3611
2021-04-06 08:00:00,0.423,0.4881,0.396,0.4853,461459645.0,0.057694285714285726,0.14728132387706871,1,0,0,0,0,1.0,0.4853,6.0,0.4853
2021-04-07 08:00:00,0.4853,0.4899,0.3432,0.3822,572489849.0,0.060166666666666674,-0.21244590974654853,0,0,0,1,1,2.0,0.3822,1.0,0.4853
2021-04-08 08:00:00,0.3821,0.4209,0.3781,0.4153,192314328.0,0.059697297297297315,0.08660387231815814,0,0,0,0,0,1.0,0.4153,6.0,0.4853
2021-04-09 08:00:00,0.4151,0.426,0.3974,0.4062,126065157.0,0.058878947368421065,-0.02191187093667224,0,0,0,0,0,2.0,0.4062,1.0,0.4853
2021-04-10 08:00:00,0.4063,0.4287,0.4006,0.4166,142494350.0,0.0580897435897436,0.025603151157065573,0,0,0,0,0,1.0,0.4166,6.0,0.4853
2021-04-11 08:00:00,0.4166,0.4565,0.4165,0.4435,229926460.0,0.05763750000000001,0.06457033125300038,1,0,0,0,0,1.0,0.4435,6.0,0.4435
2021-04-12 08:00:00,0.4437,0.4451,0.411,0.4218,136052827.0,0.05704906250000001,-0.04892897406989849,0,0,0,1,0,2.0,0.4218,1.0,0.4435
2021-04-13 08:00:00,0.4219,0.4307,0.4039,0.4253,135940107.0,0.056292835937500015,0.008297771455666236,0,0,0,0,0,1.0,0.4253,6.0,0.4435
2021-04-14 08:00:00,0.4255,0.4411,0.3811,0.4183,267063175.0,0.056385515039062514,-0.01645897013872566,0,0,0,0,0,2.0,0.4183,1.0,0.4435
2021-04-15 08:00:00,0.4183,0.4476,0.4106,0.4389,134381555.0,0.05590087716308595,0.04924695194836248,0,0,0,0,0,1.0,0.4389,6.0,0.4435
2021-04-16 08:00:00,0.4393,0.4624,0.3975,0.458,260035466.0,0.0561258552340088,0.043517885623148844,0,0,0,0,0,1.0,0.458,6.0,0.4435
2021-04-17 08:00:00,0.4582,0.5286,0.4372,0.471,509668889.0,0.05700770885315858,0.028384279475982543,1,0,0,0,0,1.0,0.471,6.0,0.471
2021-04-18 08:00:00,0.471,0.4757,0.2586,0.4045,541041475.0,0.06101001613182962,-0.1411889596602971,0,0,0,1,0,2.0,0.4045,1.0,0.471
2021-04-19 08:00:00,0.4045,0.4167,0.3664,0.3766,181866873.0,0.060742265728533876,-0.06897404202719415,0,0,0,0,0,2.0,0.3766,1.0,0.471
2021-04-20 08:00:00,0.3766,0.3854,0.339,0.3722,184568096.0,0.06038370908532053,-0.011683483802442995,0,0,0,0,0,2.0,0.3722,1.0,0.471
2021-04-21 08:00:00,0.3723,0.3835,0.3544,0.3568,133091130.0,0.05960161635818752,-0.04137560451370226,0,0,0,0,0,2.0,0.3568,1.0,0.471
2021-04-22 08:00:00,0.3568,0.3644,0.2985,0.2988,224772049.0,0.05975907594923283,-0.16255605381165916,0,0,0,0,0,2.0,0.2988,1.0,0.471
2021-04-23 08:00:00,0.2987,0.3039,0.2219,0.2885,560190690.0,0.06031509905050201,-0.03447121820615806,0,0,0,0,0,2.0,0.2885,1.0,0.471
2021-04-24 08:00:00,0.2886,0.2927,0.2627,0.2697,208748328.0,0.05955722157423946,-0.06516464471403804,0,1,0,0,0,2.0,0.2697,1.0,0.2697
2021-04-25 08:00:00,0.2697,0.2999,0.2511,0.2701,177423815.0,0.05928829103488348,0.0014831294030404063,0,0,0,0,0,2.0,0.2697,2.0,0.2697
2021-04-26 08:00:00,0.2702,0.3161,0.2666,0.314,180202268.0,0.05904358375901139,0.1625323954091078,0,0,1,0,0,1.0,0.314,6.0,0.2697
2021-04-27 08:00:00,0.3139,0.3525,0.307,0.3476,190396239.0,0.058704994165036106,0.10700636942675157,0,0,0,0,0,1.0,0.3476,6.0,0.2697
2021-04-28 08:00:00,0.3475,0.3602,0.3082,0.3337,198934478.0,0.058537369310910206,-0.03998849252013814,0,0,0,0,0,2.0,0.3337,1.0,0.2697
2021-04-29 08:00:00,0.3338,0.3492,0.3206,0.3357,255190388.0,0.057788935078137454,0.005993407252022687,0,0,0,0,0,1.0,0.3357,6.0,0.2697
2021-04-30 08:00:00,0.3356,0.3586,0.3263,0.353,158987286.0,0.05715171170118402,0.05153410783437584,1,0,0,0,0,1.0,0.353,6.0,0.353
2021-05-01 08:00:00,0.3531,0.3551,0.3336,0.3518,130320839.0,0.05626041890865442,-0.0033994334277619442,0,0,0,1,0,1.0,0.353,3.0,0.353
2021-05-02 08:00:00,0.3519,0.3524,0.3286,0.3416,113250177.0,0.05544890843593806,-0.028993746446844715,0,0,0,0,0,2.0,0.3416,1.0,0.353
2021-05-03 08:00:00,0.3417,0.3595,0.3405,0.3485,207018654.0,0.05453768572503961,0.020199063231850056,0,0,0,0,0,1.0,0.3485,6.0,0.353
2021-05-04 08:00:00,0.3486,0.349,0.3013,0.31,236364363.0,0.05436674358191362,-0.11047345767575323,0,1,0,0,0,2.0,0.31,1.0,0.31
2021-05-05 08:00:00,0.3098,0.3905,0.3055,0.3715,378582894.0,0.055132574992365777,0.19838709677419364,0,0,1,0,0,1.0,0.3715,6.0,0.31
2021-05-06 08:00:00,0.3716,0.4035,0.3551,0.3887,508255494.0,0.05496426061755663,0.046298788694481896,0,0,0,0,0,1.0,0.3887,6.0,0.31
2021-05-07 08:00:00,0.3887,0.4328,0.3597,0.3982,418614263.0,0.055417654102117714,0.024440442500643256,1,0,0,0,0,1.0,0.3982,6.0,0.3982
2021-05-08 08:00:00,0.3982,0.4067,0.3783,0.3819,187741403.0,0.05474221274956477,-0.04093420391762925,0,0,0,1,0,2.0,0.3819,1.0,0.3982
2021-05-09 08:00:00,0.3822,0.395,0.3498,0.3777,192520049.0,0.05450365743082565,-0.010997643362136822,0,0,0,0,0,2.0,0.3777,1.0,0.3982
2021-05-10 08:00:00,0.3776,0.3874,0.3047,0.3344,290389959.0,0.05520856599505501,-0.11464124966904954,0,0,0,0,0,2.0,0.3344,1.0,0.3982
2021-05-11 08:00:00,0.3344,0.3639,0.3219,0.36,192093115.0,0.054878351845178634,0.07655502392344493,0,0,0,0,0,1.0,0.36,6.0,0.3982
