Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-03 08:00:00,75.81,78.27,75.7,76.72,177071.103,2.569999999999993,-0.01889989572471329,0,0,0,0,0,-1.0,0.0,0.0,76.72
2020-02-04 08:00:00,76.73,77.3,73.73,75.27,230733.121,3.069999999999993,-0.01889989572471329,0,1,0,0,0,-1.0,0.0,0.0,75.27
2020-02-05 08:00:00,75.27,79.2,74.55,77.87,275305.488,3.596666666666664,0.0345423143350605,0,0,1,0,0,1.0,77.87,6.0,75.27
2020-02-06 08:00:00,77.94,80.23,76.28,78.39,130355.894,3.6849999999999987,0.006677796327211993,0,0,0,0,0,1.0,78.39,6.0,75.27
2020-02-07 08:00:00,78.38,81.01,78.36,79.63,145821.539,3.478,0.015818344176553145,0,0,0,0,0,1.0,79.63,6.0,75.27
2020-02-08 08:00:00,79.63,81.71,76.84,80.77,124853.413,3.7099999999999986,0.014316212482732737,0,0,0,0,0,1.0,80.77,6.0,75.27
2020-02-09 08:00:00,80.77,87.99,80.6,87.68,167717.445,4.235714285714285,0.08555156617556037,0,0,0,0,0,1.0,87.68,6.0,75.27
2020-02-10 08:00:00,87.71,88.01,83.17,84.73,125420.882,4.311249999999999,-0.03364507299270081,0,0,0,0,0,2.0,84.73,1.0,75.27
2020-02-11 08:00:00,84.66,89.84,82.69,89.68,218711.154,4.626666666666667,0.0584208662811283,0,0,0,0,0,1.0,89.68,6.0,75.27
2020-02-12 08:00:00,89.65,94.74,89.59,94.47,191814.211,4.678999999999999,0.05341213202497763,0,0,0,0,0,1.0,94.47,6.0,75.27
2020-02-13 08:00:00,94.46,95.91,89.69,92.44,216644.758,4.819090909090908,-0.021488303165025924,0,0,0,0,0,2.0,92.44,1.0,75.27
2020-02-14 08:00:00,92.44,95.48,91.02,95.33,111776.785,4.789166666666667,0.03126352228472529,1,0,0,0,0,1.0,95.33,6.0,95.33
2020-02-15 08:00:00,95.32,97.14,86.45,89.29,149330.801,5.243076923076923,-0.06335885870135316,0,0,0,1,1,2.0,89.29,1.0,95.33
2020-02-16 08:00:00,89.29,92.2,79.52,87.81,288121.713,5.774285714285715,-0.016575204390189335,0,0,0,0,0,2.0,87.81,1.0,95.33
2020-02-17 08:00:00,87.83,89.31,79.19,82.7,244112.596,6.064000000000001,-0.05819382758227987,0,0,0,0,0,2.0,82.7,1.0,95.33
2020-02-18 08:00:00,82.72,87.41,81.22,86.35,96280.155,6.071875,0.04413542926239411,0,0,0,0,0,1.0,86.35,6.0,95.33
2020-02-19 08:00:00,86.37,87.21,75.71,77.72,102052.217,6.391176470588236,-0.09994209612044003,0,0,0,0,0,2.0,77.72,1.0,95.33
2020-02-20 08:00:00,77.64,79.2,75.02,76.47,106364.563,6.268333333333334,-0.016083376222336576,0,1,0,0,0,2.0,76.47,1.0,76.47
2020-02-21 08:00:00,76.49,82.72,75.64,80.29,103280.87,6.311052631578948,0.049954230417157186,0,0,1,0,0,1.0,80.29,6.0,76.47
2020-02-22 08:00:00,80.26,82.88,78.12,78.91,115768.617,6.2335,-0.01718769460704961,0,0,0,0,0,2.0,78.91,1.0,76.47
2020-02-23 08:00:00,78.94,85.67,78.89,85.12,140935.878,6.259523809523809,0.07869725003168182,1,0,0,0,0,1.0,85.12,6.0,85.12
2020-02-24 08:00:00,85.11,86.45,76.97,79.3,179932.354,6.405909090909091,-0.06837406015037606,0,0,0,1,0,2.0,79.3,1.0,85.12
2020-02-25 08:00:00,79.27,82.12,75.42,76.61,153178.68,6.418695652173913,-0.03392181588902898,0,0,0,0,0,2.0,76.61,1.0,85.12
2020-02-26 08:00:00,76.52,78.0,68.32,70.63,149823.543,6.554583333333333,-0.07805769481790892,0,0,0,0,0,2.0,70.63,1.0,85.12
2020-02-27 08:00:00,70.62,72.73,66.69,70.18,126596.031,6.534000000000001,-0.006371230355372903,0,0,0,0,0,2.0,70.18,1.0,85.12
2020-02-28 08:00:00,70.26,71.69,66.03,68.24,123015.994,6.5003846153846165,-0.027643203191792698,0,0,0,0,0,2.0,68.24,1.0,85.12
2020-02-29 08:00:00,68.21,69.15,65.91,66.02,105065.482,6.379629629629631,-0.032532239155920295,0,0,0,0,0,2.0,66.02,1.0,85.12
2020-03-01 08:00:00,65.95,67.72,63.2,64.46,123952.573,6.313214285714287,-0.0236292032717359,0,1,0,0,0,2.0,64.46,1.0,64.46
2020-03-02 08:00:00,64.49,69.26,64.29,68.76,113357.376,6.266896551724139,0.06670803599131259,0,0,1,0,0,1.0,68.76,6.0,64.46
2020-03-03 08:00:00,68.86,69.03,64.85,65.91,108019.57,6.197333333333335,-0.041448516579406736,0,0,0,0,0,2.0,65.91,1.0,64.46
2020-03-04 08:00:00,65.91,68.06,64.78,65.69,78746.254,6.103225806451614,-0.003337884994689677,0,0,0,0,0,2.0,65.69,1.0,64.46
2020-03-05 08:00:00,65.73,70.08,65.73,68.52,104782.491,6.049687500000001,0.043081138681686726,0,0,0,0,0,1.0,68.52,6.0,64.46
2020-03-06 08:00:00,68.52,69.75,67.54,69.16,77603.957,5.933333333333334,0.0093403385872739,1,0,0,0,0,1.0,69.16,6.0,69.16
2020-03-07 08:00:00,69.13,69.63,65.21,65.74,115506.528,5.8888235294117655,-0.0494505494505495,0,0,0,1,0,2.0,65.74,1.0,69.16
