Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-01-06 08:00:00,0.197,0.2259,0.197,0.2226,92022218.9,0.02889999999999998,-0.039532794249775405,1,0,0,0,0,-1.0,0.0,0.0,0.2226
2020-01-07 08:00:00,0.2227,0.2297,0.2071,0.2138,124985943.9,0.02574999999999998,-0.039532794249775405,0,0,0,1,0,2.0,0.2138,1.0,0.2226
2020-01-08 08:00:00,0.2138,0.2204,0.2013,0.2078,79791597.2,0.023533333333333323,-0.028063610851262744,0,0,0,0,0,2.0,0.2078,1.0,0.2226
2020-01-09 08:00:00,0.2078,0.2089,0.201,0.204,45126429.9,0.01962499999999999,-0.018286814244465988,0,1,0,0,0,2.0,0.204,1.0,0.204
2020-01-10 08:00:00,0.2039,0.2136,0.2001,0.2128,62488677.4,0.018399999999999993,0.04313725490196085,0,0,1,0,0,1.0,0.2128,6.0,0.204
2020-01-11 08:00:00,0.2128,0.2203,0.2085,0.2117,73742826.6,0.017299999999999996,-0.005169172932330768,0,0,0,0,0,2.0,0.2117,1.0,0.204
2020-01-12 08:00:00,0.2113,0.217,0.2095,0.2158,66638560.6,0.015899999999999997,0.01936702881435992,0,0,0,0,0,1.0,0.2158,6.0,0.204
2020-01-13 08:00:00,0.2155,0.216,0.2104,0.2115,37926195.9,0.014612499999999997,-0.019925857275254866,0,0,0,0,0,2.0,0.2115,1.0,0.204
2020-01-14 08:00:00,0.2115,0.2458,0.2115,0.235,209732728.8,0.016799999999999995,0.11111111111111116,0,0,0,0,0,1.0,0.235,6.0,0.204
2020-01-15 08:00:00,0.235,0.2444,0.2268,0.2337,176527571.0,0.01688,-0.00553191489361704,0,0,0,0,0,2.0,0.2337,1.0,0.204
2020-01-16 08:00:00,0.227,0.2352,0.2213,0.227,75637794.6,0.016609090909090907,-0.028669234060761606,0,0,0,0,0,2.0,0.227,1.0,0.204
2020-01-17 08:00:00,0.2291,0.2449,0.2279,0.2284,108824285.7,0.016716666666666664,0.006167400881057272,0,0,0,0,0,1.0,0.2284,6.0,0.204
2020-01-18 08:00:00,0.2394,0.2552,0.232,0.2441,153549609.9,0.01749230769230769,0.06873905429071803,1,0,0,0,0,1.0,0.2441,6.0,0.2441
2020-01-19 08:00:00,0.2442,0.2525,0.226,0.236,132454087.4,0.018135714285714283,-0.033183121671446214,0,0,0,1,0,2.0,0.236,1.0,0.2441
2020-01-20 08:00:00,0.236,0.237,0.2236,0.2335,77419621.8,0.01782,-0.010593220338982912,0,0,0,0,0,2.0,0.2335,1.0,0.2441
2020-01-21 08:00:00,0.2333,0.2424,0.229,0.2375,102077724.0,0.017543749999999997,0.017130620985010614,0,0,0,0,0,1.0,0.2375,6.0,0.2441
2020-01-22 08:00:00,0.2375,0.2404,0.2315,0.2376,87613905.1,0.017035294117647058,0.00042105263157909967,0,0,0,0,0,1.0,0.2376,6.0,0.2441
2020-01-23 08:00:00,0.2375,0.2376,0.2202,0.2262,67311519.0,0.017055555555555553,-0.0479797979797979,0,0,0,0,0,2.0,0.2262,1.0,0.2441
2020-01-24 08:00:00,0.2261,0.2265,0.2135,0.2224,81678743.4,0.01684210526315789,-0.01679929266136171,0,0,0,0,0,2.0,0.2224,1.0,0.2441
2020-01-25 08:00:00,0.2224,0.2227,0.2167,0.2197,52182168.9,0.0163,-0.012140287769784042,0,1,0,0,0,2.0,0.2197,1.0,0.2197
2020-01-26 08:00:00,0.2197,0.233,0.2179,0.2313,67256850.5,0.016242857142857142,0.05279927173418297,0,0,1,0,0,1.0,0.2313,6.0,0.2197
2020-01-27 08:00:00,0.2315,0.2342,0.2265,0.2309,74631182.4,0.01585454545454545,-0.0017293558149590327,0,0,0,0,0,1.0,0.2313,3.0,0.2197
2020-01-28 08:00:00,0.2309,0.2423,0.2309,0.2393,108022768.8,0.01566086956521739,0.03637938501515814,0,0,0,0,0,1.0,0.2393,6.0,0.2197
2020-01-29 08:00:00,0.2394,0.2425,0.2343,0.236,84632552.4,0.015349999999999997,-0.013790221479314746,0,0,0,0,0,2.0,0.236,1.0,0.2197
2020-01-30 08:00:00,0.2358,0.2486,0.2304,0.2443,136027408.5,0.015463999999999999,0.0351694915254237,0,0,0,0,0,1.0,0.2443,6.0,0.2197
2020-01-31 08:00:00,0.2443,0.2458,0.2333,0.2397,114882434.6,0.015349999999999996,-0.018829308227588992,0,0,0,0,0,2.0,0.2397,1.0,0.2197
2020-02-01 08:00:00,0.2396,0.2434,0.2367,0.2416,78371892.9,0.015029629629629627,0.007926574885273263,0,0,0,0,0,1.0,0.2416,6.0,0.2197
