Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-06 08:00:00,2.182,2.231,2.122,2.177,1622030.8,0.10899999999999999,0.008268259072117479,0,1,0,0,0,-1.0,0.0,0.0,2.177
2020-02-07 08:00:00,2.177,2.297,2.172,2.195,2132892.7,0.11699999999999999,0.008268259072117479,0,0,1,0,0,1.0,2.195,6.0,2.177
2020-02-08 08:00:00,2.196,2.324,2.01,2.291,3605091.1,0.18266666666666667,0.04373576309795002,0,0,0,0,0,1.0,2.291,6.0,2.177
2020-02-09 08:00:00,2.291,2.75,2.283,2.648,11107625.1,0.25375000000000003,0.1558271497162811,0,0,0,0,0,1.0,2.648,6.0,2.177
2020-02-10 08:00:00,2.65,2.728,2.457,2.632,8869747.8,0.2572000000000001,-0.0060422960725075026,0,0,0,0,0,2.0,2.632,1.0,2.177
2020-02-11 08:00:00,2.632,2.974,2.563,2.918,7276609.8,0.28283333333333344,0.10866261398176302,0,0,0,0,0,1.0,2.918,6.0,2.177
2020-02-12 08:00:00,2.918,3.62,2.918,3.313,12871362.1,0.3427142857142858,0.1353666895133654,0,0,0,0,0,1.0,3.313,6.0,2.177
2020-02-13 08:00:00,3.314,3.397,2.871,3.132,10633209.6,0.36562500000000003,-0.05463326290371262,0,0,0,0,0,2.0,3.132,1.0,2.177
2020-02-14 08:00:00,3.13,3.562,3.052,3.49,9817208.5,0.38166666666666665,0.11430395913154534,1,0,0,0,0,1.0,3.49,6.0,3.49
2020-02-15 08:00:00,3.49,3.565,2.983,3.207,10762495.8,0.40169999999999995,-0.0810888252148998,0,0,0,1,0,2.0,3.207,1.0,3.49
2020-02-16 08:00:00,3.205,3.308,2.73,3.245,9401679.8,0.4177272727272726,0.011849080137199985,0,0,0,0,0,1.0,3.245,6.0,3.49
2020-02-17 08:00:00,3.243,3.253,2.757,3.163,11700445.4,0.42424999999999996,-0.025269645608628766,0,0,0,0,0,2.0,3.163,1.0,3.49
2020-02-18 08:00:00,3.165,3.564,3.098,3.44,11171494.5,0.42746153846153845,0.08757508694277583,0,0,0,0,0,1.0,3.44,6.0,3.49
2020-02-19 08:00:00,3.44,3.95,3.342,3.545,15907518.7,0.4403571428571428,0.03052325581395343,0,0,0,0,0,1.0,3.545,6.0,3.49
2020-02-20 08:00:00,3.547,3.877,3.444,3.609,18773735.7,0.4398666666666666,0.01805359661495065,1,0,0,0,0,1.0,3.609,6.0,3.609
2020-02-21 08:00:00,3.608,3.765,3.382,3.479,11714651.3,0.43631249999999994,-0.03602105846494874,0,0,0,1,0,2.0,3.479,1.0,3.609
2020-02-22 08:00:00,3.479,3.67,3.244,3.31,10973462.7,0.43570588235294105,-0.04857717734981315,0,0,0,0,0,2.0,3.31,1.0,3.609
2020-02-23 08:00:00,3.311,3.607,3.305,3.526,8964970.9,0.42827777777777765,0.06525679758308156,0,0,0,0,0,1.0,3.526,6.0,3.609
2020-02-24 08:00:00,3.526,3.539,2.958,3.186,15321878.4,0.43631578947368405,-0.09642654566080544,0,0,0,0,0,2.0,3.186,1.0,3.609
2020-02-25 08:00:00,3.185,3.2,2.707,2.809,18231825.5,0.4391499999999999,-0.11833019460138094,0,0,0,0,0,2.0,2.809,1.0,3.609
2020-02-26 08:00:00,2.81,2.99,2.531,2.758,31069621.0,0.440095238095238,-0.01815592737629057,0,0,0,0,0,2.0,2.758,1.0,3.609
2020-02-27 08:00:00,2.757,3.003,2.55,2.805,20257266.0,0.440681818181818,0.017041334300217592,0,0,0,0,0,1.0,2.805,6.0,3.609
2020-02-28 08:00:00,2.804,2.911,2.551,2.788,13284215.3,0.4371739130434781,-0.006060606060606211,0,0,0,0,0,2.0,2.788,1.0,3.609
2020-02-29 08:00:00,2.788,2.998,2.73,2.736,11771894.9,0.43012499999999987,-0.01865136298421799,0,0,0,0,0,2.0,2.736,1.0,3.609
