Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-04-13 08:00:00,6.882,7.391,6.677,7.004,2116526.3,0.7140000000000004,0.14220445459737308,0,1,0,0,0,-1.0,0.0,0.0,7.004
2023-04-14 08:00:00,6.991,8.65,6.778,8.0,10660910.8,1.2930000000000006,0.14220445459737308,0,0,1,0,0,1.0,8.0,6.0,7.004
2023-04-15 08:00:00,8.0,8.26,7.415,7.672,4920516.1,1.143666666666667,-0.041000000000000036,0,0,0,0,0,2.0,7.672,1.0,7.004
2023-04-16 08:00:00,7.685,8.27,7.327,8.006,3138368.7,1.0935000000000001,0.04353493222106364,1,0,0,0,0,1.0,8.006,6.0,8.006
2023-04-17 08:00:00,8.007,8.13,7.417,7.507,1744850.3,1.0174000000000003,-0.0623282538096428,0,0,0,1,0,2.0,7.507,1.0,8.006
2023-04-18 08:00:00,7.507,7.725,7.2,7.488,1748847.4,0.9353333333333335,-0.002530971093645862,0,0,0,0,0,2.0,7.488,1.0,8.006
2023-04-19 08:00:00,7.488,7.671,6.3,6.681,1737582.8,0.9975714285714288,-0.1077724358974359,0,0,0,0,0,2.0,6.681,1.0,8.006
2023-04-20 08:00:00,6.686,6.821,6.301,6.543,1184224.4,0.9378750000000001,-0.020655590480466945,0,0,0,0,0,2.0,6.543,1.0,8.006
2023-04-21 08:00:00,6.543,6.673,5.846,6.203,1201226.6,0.9255555555555558,-0.0519639309185389,0,1,0,0,0,2.0,6.203,1.0,6.203
2023-04-22 08:00:00,6.202,6.426,6.121,6.416,807407.0,0.8635000000000002,0.03433822344027093,0,0,1,0,0,1.0,6.416,6.0,6.203
2023-04-23 08:00:00,6.416,6.448,6.009,6.364,826070.0,0.824909090909091,-0.008104738154613544,0,0,0,0,0,2.0,6.364,1.0,6.203
2023-04-24 08:00:00,6.364,6.588,5.948,6.243,1022806.8,0.8095000000000002,-0.019013199245757284,0,0,0,0,0,2.0,6.243,1.0,6.203
2023-04-25 08:00:00,6.244,6.326,5.824,6.217,1367967.5,0.785846153846154,-0.0041646644241551956,0,0,0,0,0,2.0,6.217,1.0,6.203
2023-04-26 08:00:00,6.215,6.731,5.8,6.242,2851179.2,0.7962142857142859,0.004021232105517081,0,0,0,0,0,2.0,6.217,5.0,6.203
2023-04-27 08:00:00,6.244,6.479,5.997,6.47,1219116.6,0.7752666666666668,0.03652675424543417,1,0,0,0,0,1.0,6.47,6.0,6.47
2023-04-28 08:00:00,6.471,6.572,6.131,6.274,1561417.7,0.754375,-0.030293663060278142,0,0,0,1,0,2.0,6.274,1.0,6.47
2023-04-29 08:00:00,6.272,6.523,6.22,6.428,1320865.1,0.7278235294117648,0.02454574434172785,0,0,0,0,0,1.0,6.428,6.0,6.47
2023-04-30 08:00:00,6.428,6.431,6.127,6.329,1029614.0,0.7042777777777779,-0.015401369010578758,0,0,0,0,0,2.0,6.329,1.0,6.47
2023-05-01 08:00:00,6.327,6.357,5.832,5.999,904628.4,0.694842105263158,-0.05214093853689372,0,0,0,0,0,2.0,5.999,1.0,6.47
2023-05-02 08:00:00,5.999,6.006,5.734,5.956,1006903.7,0.6737000000000001,-0.007167861310218293,0,0,0,0,0,2.0,5.956,1.0,6.47
2023-05-03 08:00:00,5.957,6.189,5.552,6.144,1623885.7,0.6719523809523811,0.03156480859637334,0,0,0,0,0,1.0,6.144,6.0,6.47
2023-05-04 08:00:00,6.144,6.348,5.884,6.023,2622013.1,0.6625000000000001,-0.01969401041666674,0,0,0,0,0,2.0,6.023,1.0,6.47
