Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-05 08:00:00,65.99,73.26,64.77,71.22,83798.339,8.490000000000009,-0.014743049705138955,0,0,0,0,0,-1.0,0.0,0.0,71.22
2020-02-06 08:00:00,71.22,73.47,67.76,70.17,69289.16,7.100000000000001,-0.014743049705138955,0,0,0,0,0,-1.0,0.0,0.0,71.22
2020-02-07 08:00:00,70.21,72.25,68.03,68.59,98172.843,6.140000000000001,-0.02251674504774115,0,1,0,0,0,-1.0,0.0,0.0,68.59
2020-02-08 08:00:00,68.61,72.34,66.0,70.13,89554.027,6.190000000000001,0.02245225251494376,0,0,1,0,0,1.0,70.13,6.0,68.59
2020-02-09 08:00:00,70.14,73.1,68.85,71.43,73579.213,5.802000000000001,0.018537002709254402,0,0,0,0,0,1.0,71.43,6.0,68.59
2020-02-10 08:00:00,71.43,71.65,68.0,69.9,76113.401,5.443333333333335,-0.02141957160856789,0,0,0,0,0,2.0,69.9,1.0,68.59
2020-02-11 08:00:00,69.9,73.21,68.24,72.75,92413.848,5.375714285714287,0.040772532188841026,0,0,0,0,0,1.0,72.75,6.0,68.59
2020-02-12 08:00:00,72.8,75.27,72.37,73.61,109908.374,5.06625,0.011821305841924312,1,0,0,0,0,1.0,73.61,6.0,73.61
2020-02-13 08:00:00,73.61,76.01,70.1,72.12,121454.499,5.160000000000001,-0.020241814970791916,0,0,0,1,1,2.0,72.12,1.0,73.61
2020-02-14 08:00:00,72.13,73.39,70.47,72.96,82366.846,4.936000000000002,0.011647254575706922,0,0,0,0,0,1.0,72.96,6.0,73.61
2020-02-15 08:00:00,72.97,73.09,62.43,64.53,106902.644,5.456363636363638,-0.11554276315789469,0,0,0,0,0,2.0,64.53,1.0,73.61
2020-02-16 08:00:00,64.53,66.62,53.42,60.06,177638.011,6.101666666666669,-0.06927010692701063,0,1,0,0,0,2.0,60.06,1.0,60.06
2020-02-17 08:00:00,60.04,66.16,54.82,64.21,249737.318,6.504615384615387,0.06909756909756903,0,0,1,0,0,1.0,64.21,6.0,60.06
2020-02-18 08:00:00,64.22,66.5,60.07,65.91,220269.2,6.499285714285717,0.026475626849400413,0,0,0,0,0,1.0,65.91,6.0,60.06
2020-02-19 08:00:00,65.97,69.67,60.7,62.07,124006.937,6.664000000000002,-0.05826126536185705,0,0,0,0,0,2.0,62.07,1.0,60.06
2020-02-20 08:00:00,62.07,64.2,58.01,60.8,181149.109,6.634375000000002,-0.020460770098276182,0,0,0,0,0,2.0,60.8,1.0,60.06
2020-02-21 08:00:00,60.78,64.03,59.9,61.63,112631.857,6.487058823529414,0.013651315789473761,0,0,0,0,0,1.0,61.63,6.0,60.06
2020-02-22 08:00:00,61.59,62.3,60.01,60.86,62341.265,6.25388888888889,-0.012493915300989866,0,0,0,0,0,2.0,60.86,1.0,60.06
2020-02-23 08:00:00,60.82,63.85,60.81,63.4,107643.865,6.084736842105264,0.04173512980611238,1,0,0,0,0,1.0,63.4,6.0,63.4
2020-02-24 08:00:00,63.4,64.38,58.92,60.76,154634.058,6.0535000000000005,-0.04164037854889591,0,0,0,1,1,2.0,60.76,1.0,63.4
2020-02-25 08:00:00,60.73,61.01,56.16,57.11,121131.633,5.996190476190477,-0.06007241606319946,0,0,0,0,0,2.0,57.11,1.0,63.4
2020-02-26 08:00:00,57.12,58.07,48.2,51.38,230130.046,6.172272727272728,-0.100332691297496,0,0,0,0,0,2.0,51.38,1.0,63.4
2020-02-27 08:00:00,51.38,55.15,47.97,52.98,200530.652,6.216086956521741,0.031140521603736815,0,0,0,0,0,1.0,52.98,6.0,63.4
2020-02-28 08:00:00,53.02,54.18,48.71,50.79,155193.102,6.185000000000001,-0.04133635334088326,0,0,0,0,0,2.0,50.79,1.0,63.4
2020-02-29 08:00:00,50.83,52.19,48.96,48.98,131075.268,6.066800000000001,-0.03563693640480414,0,1,0,0,0,2.0,48.98,1.0,48.98
2020-03-01 08:00:00,48.99,51.6,48.01,49.08,147671.281,5.971538461538462,0.0020416496529196415,0,0,1,0,0,2.0,48.98,3.0,48.98
2020-03-02 08:00:00,49.11,52.99,48.85,52.39,110757.843,5.903703703703705,0.06744091279543607,0,0,0,0,0,1.0,52.39,6.0,48.98
2020-03-03 08:00:00,52.41,52.43,49.8,50.84,94094.612,5.786785714285715,-0.029585798816567976,0,0,0,0,0,2.0,50.84,1.0,48.98
2020-03-04 08:00:00,50.84,51.56,48.95,50.16,69117.992,5.677241379310346,-0.013375295043273172,0,0,0,0,0,2.0,50.16,1.0,48.98
2020-03-05 08:00:00,50.24,53.26,50.21,51.9,121733.293,5.591333333333335,0.0346889952153111,0,0,0,0,0,1.0,51.9,6.0,48.98
2020-03-06 08:00:00,51.92,53.58,51.07,53.34,94310.247,5.491935483870969,0.02774566473988438,1,0,0,0,0,1.0,53.34,6.0,53.34
2020-03-07 08:00:00,53.3,53.56,50.34,50.68,70776.323,5.420937500000001,-0.04986876640419957,0,0,0,1,0,2.0,50.68,1.0,53.34
2020-03-08 08:00:00,50.62,50.68,42.01,42.81,232992.294,5.51939393939394,-0.15528808208366218,0,0,0,0,0,2.0,42.81,1.0,53.34
2020-03-09 08:00:00,42.86,44.22,38.79,42.21,230627.643,5.516764705882355,-0.014015416958654603,0,0,0,0,0,2.0,42.21,1.0,53.34
2020-03-10 08:00:00,42.18,42.61,40.32,41.46,135221.203,5.42457142857143,-0.01776830135039087,0,0,0,0,0,2.0,41.46,1.0,53.34
2020-03-11 08:00:00,41.45,42.14,37.41,40.26,135940.419,5.405277777777779,-0.02894356005788723,0,0,0,0,0,2.0,40.26,1.0,53.34
2020-03-12 08:00:00,40.26,40.43,24.08,25.38,414644.75,5.701081081081082,-0.36959761549925485,0,0,0,0,0,2.0,25.38,1.0,53.34
2020-03-13 08:00:00,25.32,29.83,16.91,27.38,673893.389,5.8910526315789475,0.07880220646178104,0,0,0,0,0,1.0,27.38,6.0,53.34
2020-03-14 08:00:00,27.39,27.68,24.61,24.94,310368.922,5.818717948717949,-0.08911614317019712,0,0,0,0,0,2.0,24.94,1.0,53.34
2020-03-15 08:00:00,24.96,27.0,24.6,25.66,249346.348,5.73325,0.028869286287088958,0,0,0,0,0,1.0,25.66,6.0,53.34
2020-03-16 08:00:00,25.66,26.23,21.26,24.67,407380.139,5.71416875,-0.03858144972720179,0,1,0,0,0,2.0,24.67,1.0,24.67
2020-03-17 08:00:00,24.72,25.73,23.88,25.01,160873.961,5.61756453125,0.013781921361978089,0,0,1,0,0,1.0,25.01,6.0,24.67
2020-03-18 08:00:00,25.0,30.03,24.29,29.75,302854.991,5.62062541796875,0.18952419032387047,0,0,0,0,0,1.0,29.75,6.0,24.67
2020-03-19 08:00:00,29.74,33.85,28.13,31.95,361032.924,5.623109782519531,0.07394957983193273,0,0,0,0,0,1.0,31.95,6.0,24.67
2020-03-20 08:00:00,31.97,36.23,29.61,33.07,291703.987,5.648032037956543,0.035054773082942026,1,0,0,0,0,1.0,33.07,6.0,33.07
2020-03-21 08:00:00,33.07,35.47,31.95,32.95,218055.777,5.59483123700763,-0.003628666465073982,0,0,0,1,0,1.0,33.07,3.0,33.07
2020-03-22 08:00:00,32.94,35.44,28.99,29.45,172418.74,5.616210456082439,-0.10622154779969661,0,1,0,0,0,2.0,29.45,1.0,29.45
2020-03-23 08:00:00,29.46,33.06,28.96,32.06,141995.374,5.578305194680378,0.08862478777589144,0,0,1,0,0,1.0,32.06,6.0,29.45
2020-03-24 08:00:00,32.06,33.2,31.74,32.72,93377.307,5.475347564813369,0.020586400499064128,0,0,0,0,0,1.0,32.72,6.0,29.45
2020-03-25 08:00:00,32.75,32.87,30.86,32.15,84930.086,5.388713875693035,-0.017420537897310573,0,0,0,0,0,2.0,32.15,1.0,29.45
2020-03-26 08:00:00,32.19,32.5,31.13,32.43,65391.874,5.2882460288007085,0.008709175738724761,0,0,0,0,0,1.0,32.43,6.0,29.45
2020-03-27 08:00:00,32.45,32.95,30.68,31.01,112914.323,5.212789878080691,-0.04378661732963296,0,0,0,0,1,2.0,31.01,1.0,29.45
2020-03-28 08:00:00,30.98,30.98,28.97,30.3,87722.004,5.133470131128673,-0.022895840051596283,0,0,0,0,0,2.0,30.3,1.0,29.45
2020-03-29 08:00:00,30.3,30.44,28.16,28.17,65188.997,5.062133377850456,-0.07029702970297025,0,1,0,0,0,2.0,28.17,1.0,28.17
2020-03-30 08:00:00,28.17,31.59,28.17,30.54,92004.252,5.0210800434041944,0.08413205537806157,0,0,1,0,0,1.0,30.54,6.0,28.17
2020-03-31 08:00:00,30.51,31.77,30.18,30.92,75888.866,4.93530304231909,0.012442698100851413,0,0,0,0,0,1.0,30.92,6.0,28.17
2020-04-01 08:00:00,30.89,31.64,29.81,31.28,79357.125,4.857670466261113,0.011642949547218562,0,0,0,0,0,1.0,31.28,6.0,28.17
2020-04-02 08:00:00,31.3,33.95,31.01,32.21,115720.53,4.809728704604585,0.02973145780051145,0,0,0,0,0,1.0,32.21,6.0,28.17
2020-04-03 08:00:00,32.21,33.26,31.58,32.67,89388.819,4.73148548698947,0.014281279105867739,0,0,0,0,0,1.0,32.67,6.0,28.17
2020-04-04 08:00:00,32.7,33.58,31.95,33.01,88664.572,4.653948349814733,0.010407101316192158,0,0,0,0,0,1.0,33.01,6.0,28.17
