Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-11-24 08:00:00,12.888,16.108,12.864,14.293,411652.2,3.2439999999999998,0.03092422864339195,0,0,0,0,0,-1.0,0.0,0.0,14.293
2020-11-25 08:00:00,14.322,19.699,13.031,14.735,1894972.0,4.956,0.03092422864339195,0,0,0,0,0,-1.0,0.0,0.0,14.293
2020-11-26 08:00:00,14.728,15.432,11.087,11.857,1406867.5,4.7523333333333335,-0.19531727180183234,0,1,0,0,0,-1.0,0.0,0.0,11.857
2020-11-27 08:00:00,11.861,13.525,11.111,12.259,507469.2,4.16775,0.03390402294003558,0,0,1,0,0,1.0,12.259,6.0,11.857
2020-11-28 08:00:00,12.268,15.84,11.68,14.898,1074279.2,4.1662,0.21527041357370091,0,0,0,0,0,1.0,14.898,6.0,11.857
2020-11-29 08:00:00,14.914,15.5,13.613,13.932,762906.8,3.7863333333333333,-0.06484091824405958,0,0,0,0,0,2.0,13.932,1.0,11.857
2020-11-30 08:00:00,13.942,15.999,13.708,15.1,782749.0,3.572714285714286,0.08383577375825424,1,0,0,0,0,1.0,15.1,6.0,15.1
2020-12-01 08:00:00,15.121,16.868,13.587,13.914,1219115.3,3.53625,-0.07854304635761589,0,0,0,1,0,2.0,13.914,1.0,15.1
2020-12-02 08:00:00,13.933,14.725,13.216,14.112,730426.6,3.311,0.014230271668822736,0,0,0,0,0,1.0,14.112,6.0,15.1
2020-12-03 08:00:00,14.098,14.173,13.3,13.896,451511.5,3.0671999999999997,-0.015306122448979553,0,0,0,0,0,2.0,13.896,1.0,15.1
2020-12-04 08:00:00,13.885,14.15,11.272,11.589,811773.7,3.05,-0.16601899827288435,0,0,0,0,0,2.0,11.589,1.0,15.1
2020-12-05 08:00:00,11.581,12.996,11.32,12.537,508284.7,2.9354999999999998,0.08180170851669688,0,0,0,0,0,1.0,12.537,6.0,15.1
2020-12-06 08:00:00,12.535,12.718,11.683,12.326,385578.1,2.789307692307692,-0.016830182659328452,0,0,0,0,0,2.0,12.326,1.0,15.1
2020-12-07 08:00:00,12.329,12.516,11.522,11.976,474436.2,2.6610714285714283,-0.02839526204770404,0,0,0,0,0,2.0,11.976,1.0,15.1
2020-12-08 08:00:00,11.987,12.789,10.15,10.394,1136719.6,2.6595999999999993,-0.13209752839011357,0,0,0,0,1,2.0,10.394,1.0,15.1
2020-12-09 08:00:00,10.389,11.04,9.8,10.638,610101.9,2.570874999999999,0.02347508177794877,0,0,0,0,0,1.0,10.638,6.0,15.1
2020-12-10 08:00:00,10.652,10.699,9.72,10.106,439553.5,2.477235294117646,-0.050009400263207326,0,0,0,0,0,2.0,10.106,1.0,15.1
2020-12-11 08:00:00,10.098,10.178,8.957,9.062,453910.2,2.407444444444444,-0.10330496734613104,0,1,0,0,0,2.0,9.062,1.0,9.062
2020-12-12 08:00:00,9.045,10.407,9.026,10.211,551339.8,2.353421052631578,0.12679320238357983,0,0,1,0,0,1.0,10.211,6.0,9.062
2020-12-13 08:00:00,10.213,11.43,9.892,11.033,827693.7,2.312649999999999,0.08050142003721472,0,0,0,0,0,1.0,11.033,6.0,9.062
