Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-06-18 08:00:00,0.0227,0.0227,0.0202,0.02084,565507291.0,0.0025000000000000022,-0.10220729366602688,1,0,0,0,0,-1.0,0.0,0.0,0.02084
2020-06-19 08:00:00,0.02087,0.0219,0.01834,0.01871,829409796.0,0.0030300000000000014,-0.10220729366602688,0,1,0,1,0,2.0,0.01871,1.0,0.01871
2020-06-20 08:00:00,0.01871,0.0195,0.01755,0.01908,1069767141.0,0.002670000000000001,0.019775521111704997,0,0,1,0,0,1.0,0.01908,6.0,0.01871
2020-06-21 08:00:00,0.01908,0.02097,0.01868,0.0199,1368315995.0,0.002575000000000001,0.042976939203354325,0,0,0,0,0,1.0,0.0199,6.0,0.01871
2020-06-22 08:00:00,0.0199,0.0206,0.01936,0.02006,650775513.0,0.002308000000000001,0.008040201005025116,0,0,0,0,0,1.0,0.02006,6.0,0.01871
2020-06-23 08:00:00,0.02007,0.02028,0.01888,0.01943,497046487.0,0.0021566666666666674,-0.03140578265204397,0,0,0,0,0,2.0,0.01943,1.0,0.01871
2020-06-24 08:00:00,0.01943,0.0205,0.01849,0.01953,643872599.0,0.0021357142857142864,0.00514668039114774,0,0,0,0,0,1.0,0.01953,6.0,0.01871
2020-06-25 08:00:00,0.01952,0.01977,0.01873,0.01891,341762955.0,0.0019987500000000005,-0.031746031746031744,0,0,0,0,0,2.0,0.01891,1.0,0.01871
2020-06-26 08:00:00,0.01891,0.01904,0.01778,0.01789,468372549.0,0.0019166666666666672,-0.0539397144368059,0,0,0,0,0,2.0,0.01789,1.0,0.01871
2020-06-27 08:00:00,0.0179,0.01793,0.01455,0.0158,888579264.0,0.0020630000000000006,-0.1168250419228618,0,1,0,0,0,2.0,0.0158,1.0,0.0158
2020-06-28 08:00:00,0.0158,0.0185,0.0157,0.01794,1411453566.0,0.0021300000000000004,0.1354430379746836,0,0,1,0,0,1.0,0.01794,6.0,0.0158
2020-06-29 08:00:00,0.01794,0.01837,0.0169,0.01799,828402531.0,0.002075000000000001,0.00278706800445927,0,0,0,0,0,1.0,0.01799,6.0,0.0158
2020-06-30 08:00:00,0.018,0.01805,0.01721,0.01741,427343297.0,0.001980000000000001,-0.03224013340744858,0,0,0,0,0,2.0,0.01741,1.0,0.0158
2020-07-01 08:00:00,0.01741,0.01784,0.01696,0.01741,394297442.0,0.0019014285714285724,0.0,0,0,0,0,0,2.0,0.01741,1.0,0.0158
