index_value,sentiment,date,time_until_update
46,Fear,2025-03-25,23898
45,Fear,2025-03-24,
30,Fear,2025-03-23,
32,Fear,2025-03-22,
31,Fear,2025-03-21,
49,Neutral,2025-03-20,
32,Fear,2025-03-19,
34,Fear,2025-03-18,
32,Fear,2025-03-17,
30,Fear,2025-03-16,
46,Fear,2025-03-15,
27,Fear,2025-03-14,
45,Fear,2025-03-13,
34,Fear,2025-03-12,
24,Extreme Fear,2025-03-11,
20,Extreme Fear,2025-03-10,
27,Fear,2025-03-09,
28,Fear,2025-03-08,
34,Fear,2025-03-07,
25,Extreme Fear,2025-03-06,
20,Extreme Fear,2025-03-05,
15,Extreme Fear,2025-03-04,
33,Fear,2025-03-03,
26,Fear,2025-03-02,
20,Extreme Fear,2025-03-01,
16,Extreme Fear,2025-02-28,
10,Extreme Fear,2025-02-27,
21,Extreme Fear,2025-02-26,
25,Extreme Fear,2025-02-25,
49,Neutral,2025-02-24,
50,Neutral,2025-02-23,
49,Neutral,2025-02-22,
55,Greed,2025-02-21,
49,Neutral,2025-02-20,
44,Fear,2025-02-19,
47,Neutral,2025-02-18,
51,Neutral,2025-02-17,
54,Neutral,2025-02-16,
50,Neutral,2025-02-15,
48,Neutral,2025-02-14,
50,Neutral,2025-02-13,
46,Fear,2025-02-12,
47,Neutral,2025-02-11,
43,Fear,2025-02-10,
46,Fear,2025-02-09,
44,Fear,2025-02-08,
44,Fear,2025-02-07,
49,Neutral,2025-02-06,
54,Neutral,2025-02-05,
72,Greed,2025-02-04,
44,Fear,2025-02-03,
60,Greed,2025-02-02,
68,Greed,2025-02-01,
76,Extreme Greed,2025-01-31,
70,Greed,2025-01-30,
72,Greed,2025-01-29,
72,Greed,2025-01-28,
71,Greed,2025-01-27,
73,Greed,2025-01-26,
75,Greed,2025-01-25,
75,Greed,2025-01-24,
75,Greed,2025-01-23,
84,Extreme Greed,2025-01-22,
76,Extreme Greed,2025-01-21,
76,Extreme Greed,2025-01-20,
77,Extreme Greed,2025-01-19,
77,Extreme Greed,2025-01-18,
75,Greed,2025-01-17,
75,Greed,2025-01-16,
70,Greed,2025-01-15,
63,Greed,2025-01-14,
61,Greed,2025-01-13,
62,Greed,2025-01-12,
69,Greed,2025-01-11,
50,Neutral,2025-01-10,
69,Greed,2025-01-09,
70,Greed,2025-01-08,
78,Extreme Greed,2025-01-07,
76,Extreme Greed,2025-01-06,
72,Greed,2025-01-05,
73,Greed,2025-01-04,
74,Greed,2025-01-03,
70,Greed,2025-01-02,
66,Greed,2025-01-01,
64,Greed,2024-12-31,
65,Greed,2024-12-30,
73,Greed,2024-12-29,
72,Greed,2024-12-28,
74,Greed,2024-12-27,
79,Extreme Greed,2024-12-26,
73,Greed,2024-12-25,
73,Greed,2024-12-24,
70,Greed,2024-12-23,
73,Greed,2024-12-22,
73,Greed,2024-12-21,
74,Greed,2024-12-20,
75,Greed,2024-12-19,
81,Extreme Greed,2024-12-18,
87,Extreme Greed,2024-12-17,
83,Extreme Greed,2024-12-16,
80,Extreme Greed,2024-12-15,
83,Extreme Greed,2024-12-14,
76,Extreme Greed,2024-12-13,
83,Extreme Greed,2024-12-12,
74,Greed,2024-12-11,
78,Extreme Greed,2024-12-10,
78,Extreme Greed,2024-12-09,
79,Extreme Greed,2024-12-08,
75,Greed,2024-12-07,
72,Greed,2024-12-06,
84,Extreme Greed,2024-12-05,
78,Extreme Greed,2024-12-04,
76,Extreme Greed,2024-12-03,
80,Extreme Greed,2024-12-02,
81,Extreme Greed,2024-12-01,
84,Extreme Greed,2024-11-30,
78,Extreme Greed,2024-11-29,
77,Extreme Greed,2024-11-28,
75,Greed,2024-11-27,
79,Extreme Greed,2024-11-26,
82,Extreme Greed,2024-11-25,
80,Extreme Greed,2024-11-24,
93,Extreme Greed,2024-11-23,
94,Extreme Greed,2024-11-22,
82,Extreme Greed,2024-11-21,
83,Extreme Greed,2024-11-20,
90,Extreme Greed,2024-11-19,
83,Extreme Greed,2024-11-18,
90,Extreme Greed,2024-11-17,
86,Extreme Greed,2024-11-16,
80,Extreme Greed,2024-11-15,
88,Extreme Greed,2024-11-14,
84,Extreme Greed,2024-11-13,
80,Extreme Greed,2024-11-12,
76,Extreme Greed,2024-11-11,
78,Extreme Greed,2024-11-10,
75,Greed,2024-11-09,
75,Greed,2024-11-08,
77,Extreme Greed,2024-11-07,
70,Greed,2024-11-06,
70,Greed,2024-11-05,
