realtime_start,realtime_end,date,value
2025-03-27,2025-03-27,2022-03-24,4520.16
2025-03-27,2025-03-27,2022-03-25,4543.06
2025-03-27,2025-03-27,2022-03-28,4575.52
2025-03-27,2025-03-27,2022-03-29,4631.6
2025-03-27,2025-03-27,2022-03-30,4602.45
2025-03-27,2025-03-27,2022-03-31,4530.41
2025-03-27,2025-03-27,2022-04-01,4545.86
2025-03-27,2025-03-27,2022-04-04,4582.64
2025-03-27,2025-03-27,2022-04-05,4525.12
2025-03-27,2025-03-27,2022-04-06,4481.15
2025-03-27,2025-03-27,2022-04-07,4500.21
2025-03-27,2025-03-27,2022-04-08,4488.28
2025-03-27,2025-03-27,2022-04-11,4412.53
2025-03-27,2025-03-27,2022-04-12,4397.45
2025-03-27,2025-03-27,2022-04-13,4446.59
2025-03-27,2025-03-27,2022-04-14,4392.59
2025-03-27,2025-03-27,2022-04-15,
2025-03-27,2025-03-27,2022-04-18,4391.69
2025-03-27,2025-03-27,2022-04-19,4462.21
2025-03-27,2025-03-27,2022-04-20,4459.45
2025-03-27,2025-03-27,2022-04-21,4393.66
2025-03-27,2025-03-27,2022-04-22,4271.78
2025-03-27,2025-03-27,2022-04-25,4296.12
2025-03-27,2025-03-27,2022-04-26,4175.2
2025-03-27,2025-03-27,2022-04-27,4183.96
2025-03-27,2025-03-27,2022-04-28,4287.5
2025-03-27,2025-03-27,2022-04-29,4131.93
2025-03-27,2025-03-27,2022-05-02,4155.38
2025-03-27,2025-03-27,2022-05-03,4175.48
2025-03-27,2025-03-27,2022-05-04,4300.17
2025-03-27,2025-03-27,2022-05-05,4146.87
2025-03-27,2025-03-27,2022-05-06,4123.34
2025-03-27,2025-03-27,2022-05-09,3991.24
2025-03-27,2025-03-27,2022-05-10,4001.05
2025-03-27,2025-03-27,2022-05-11,3935.18
2025-03-27,2025-03-27,2022-05-12,3930.08
2025-03-27,2025-03-27,2022-05-13,4023.89
2025-03-27,2025-03-27,2022-05-16,4008.01
2025-03-27,2025-03-27,2022-05-17,4088.85
2025-03-27,2025-03-27,2022-05-18,3923.68
2025-03-27,2025-03-27,2022-05-19,3900.79
2025-03-27,2025-03-27,2022-05-20,3901.36
2025-03-27,2025-03-27,2022-05-23,3973.75
2025-03-27,2025-03-27,2022-05-24,3941.48
2025-03-27,2025-03-27,2022-05-25,3978.73
2025-03-27,2025-03-27,2022-05-26,4057.84
2025-03-27,2025-03-27,2022-05-27,4158.24
2025-03-27,2025-03-27,2022-05-30,
2025-03-27,2025-03-27,2022-05-31,4132.15
2025-03-27,2025-03-27,2022-06-01,4101.23
2025-03-27,2025-03-27,2022-06-02,4176.82
2025-03-27,2025-03-27,2022-06-03,4108.54
2025-03-27,2025-03-27,2022-06-06,4121.43
2025-03-27,2025-03-27,2022-06-07,4160.68
2025-03-27,2025-03-27,2022-06-08,4115.77
2025-03-27,2025-03-27,2022-06-09,4017.82
2025-03-27,2025-03-27,2022-06-10,3900.86
2025-03-27,2025-03-27,2022-06-13,3749.63
2025-03-27,2025-03-27,2022-06-14,3735.48
2025-03-27,2025-03-27,2022-06-15,3789.99
2025-03-27,2025-03-27,2022-06-16,3666.77
2025-03-27,2025-03-27,2022-06-17,3674.84
2025-03-27,2025-03-27,2022-06-20,
2025-03-27,2025-03-27,2022-06-21,3764.79
2025-03-27,2025-03-27,2022-06-22,3759.89
2025-03-27,2025-03-27,2022-06-23,3795.73
2025-03-27,2025-03-27,2022-06-24,3911.74
2025-03-27,2025-03-27,2022-06-27,3900.11
2025-03-27,2025-03-27,2022-06-28,3821.55
2025-03-27,2025-03-27,2022-06-29,3818.83
2025-03-27,2025-03-27,2022-06-30,3785.38
2025-03-27,2025-03-27,2022-07-01,3825.33
2025-03-27,2025-03-27,2022-07-04,
2025-03-27,2025-03-27,2022-07-05,3831.39
2025-03-27,2025-03-27,2022-07-06,3845.08
2025-03-27,2025-03-27,2022-07-07,3902.62
2025-03-27,2025-03-27,2022-07-08,3899.38
2025-03-27,2025-03-27,2022-07-11,3854.43
